训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 0/12500, Loss 4.96, NLL: 4.96, RegTerm: 0.0, GradNorm: 124.8 | Cond: 0.22, Noise: 0.78
Clipped gradient with value 19013.0 while allowed 5218.8
Epoch: 0, iter: 1/12500, Loss 11.36, NLL: 11.36, RegTerm: 0.0, GradNorm: 19013.0 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 2/12500, Loss 4.00, NLL: 4.00, RegTerm: 0.0, GradNorm: 101.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 3/12500, Loss 4.09, NLL: 4.09, RegTerm: 0.0, GradNorm: 66.1 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 4/12500, Loss 4.08, NLL: 4.08, RegTerm: 0.0, GradNorm: 93.2 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 5/12500, Loss 3.85, NLL: 3.85, RegTerm: 0.0, GradNorm: 97.4 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 6/12500, Loss 3.81, NLL: 3.81, RegTerm: 0.0, GradNorm: 92.9 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 7/12500, Loss 3.95, NLL: 3.95, RegTerm: 0.0, GradNorm: 90.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 8/12500, Loss 4.10, NLL: 4.10, RegTerm: 0.0, GradNorm: 85.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 9/12500, Loss 3.60, NLL: 3.60, RegTerm: 0.0, GradNorm: 88.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 10/12500, Loss 3.62, NLL: 3.62, RegTerm: 0.0, GradNorm: 33.3 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 11/12500, Loss 3.57, NLL: 3.57, RegTerm: 0.0, GradNorm: 19.9 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 12/12500, Loss 3.88, NLL: 3.88, RegTerm: 0.0, GradNorm: 34.3 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 13/12500, Loss 3.78, NLL: 3.78, RegTerm: 0.0, GradNorm: 53.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 14/12500, Loss 3.41, NLL: 3.41, RegTerm: 0.0, GradNorm: 62.0 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 15/12500, Loss 3.55, NLL: 3.55, RegTerm: 0.0, GradNorm: 72.6 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 16/12500, Loss 4.01, NLL: 4.01, RegTerm: 0.0, GradNorm: 27.4 | Cond: 0.22, Noise: 0.78
